Month	Day	Hour	Primary Type	Description	Location Description	Arrest	District	Ward	Latitude	Longitude
1	1	1	BATTERY	SIMPLE	BAR OR TAVERN	TRUE	18	42	41.90393322	-87.62912854
1	1	1	PUBLIC PEACE VIOLATION	RECKLESS CONDUCT	SIDEWALK	TRUE	6	21	41.74057852	-87.64739377
1	1	12	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	FALSE	3	5	41.77804747	-87.58638773
1	1	1	BATTERY	DOMESTIC BATTERY SIMPLE	STREET	FALSE	10	12	41.84890571	-87.69536478
1	1	1	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE PORCH/HALLWAY	TRUE	19	47	41.95896938	-87.6788962
1	1	2	BATTERY	SIMPLE	RESIDENCE	FALSE	7	15	41.78970957	-87.6693265
1	1	4	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	FALSE	6	6	41.73631853	-87.6367662
1	1	5	ROBBERY	STRONGARM - NO WEAPON	SIDEWALK	FALSE	6	6	41.74109377	-87.61626861
1	1	2	THEFT	OVER $500	APARTMENT	FALSE	7	17	41.77061225	-87.64740749
1	1	17	ASSAULT	SIMPLE	CHA HALLWAY/STAIRWELL/ELEVATOR	FALSE	6	18	41.74778008	-87.66943627
1	1	19	ASSAULT	SIMPLE	RESIDENCE PORCH/HALLWAY	FALSE	24	49	42.01980371	-87.66620567
1	1	22	CRIMINAL DAMAGE	TO VEHICLE	STREET	TRUE	8	15	41.77912597	-87.69272419
1	1	6	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	FALSE	8	13	41.78317092	-87.73388504
1	1	23	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	12	2	41.8830454	-87.68285541
1	1	10	THEFT	$500 AND UNDER	STREET	FALSE	3	5	41.77170748	-87.5691766
1	1	14	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	14	26	41.91194989	-87.70643513
1	1	21	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT OVER $ 300	GROCERY FOOD STORE	FALSE	19	32	41.92799852	-87.67320816
1	1	1	THEFT	$500 AND UNDER	VEHICLE NON-COMMERCIAL	FALSE	7	3	41.79357171	-87.63297457
1	1	6	HOMICIDE	FIRST DEGREE MURDER	STREET	FALSE	11	28	41.87929064	-87.74159851
1	1	20	THEFT	$500 AND UNDER	STREET	FALSE	2	4	41.82454837	-87.61245073
1	2	10	BURGLARY	FORCIBLE ENTRY	APARTMENT	FALSE	25	37	41.90860005	-87.75469662
1	1	6	BURGLARY	FORCIBLE ENTRY	RESIDENCE	FALSE	12	1	41.89779712	-87.67300873
1	1	5	HOMICIDE	FIRST DEGREE MURDER	TAVERN	TRUE	19	46	41.96608155	-87.6579085
1	2	12	ASSAULT	SIMPLE	APARTMENT	FALSE	24	49	42.01706318	-87.68164967
1	2	12	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	TRUE	8	15	41.76828691	-87.68651969
1	2	1	BATTERY	SIMPLE	STREET	TRUE	18	42	41.89005303	-87.6287044
1	2	12	ROBBERY	ATTEMPT: ARMED-HANDGUN	STREET	FALSE	4	8	41.73233299	-87.58681868
1	2	1	ARSON	BY FIRE	STREET	TRUE	16	45	41.98171424	-87.76957805
1	2	12	THEFT	$500 AND UNDER	CONVENIENCE STORE	TRUE	18	42	41.90347807	-87.6314331
1	2	12	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	18	42	41.89594464	-87.6326983
1	2	12	BATTERY	DOMESTIC BATTERY SIMPLE	STREET	FALSE	4	8	41.73692895	-87.58459275
1	2	12	OTHER OFFENSE	VEHICLE TITLE/REG OFFENSE	STREET	TRUE	5	34	41.69428551	-87.62315244
1	2	12	ASSAULT	AGGRAVATED: OTHER DANG WEAPON	RESIDENCE	FALSE	5	9	41.67167839	-87.62727716
1	2	12	NARCOTICS	POSS: COCAINE	STREET	TRUE	9	11	41.82792124	-87.67033338
1	2	1	NARCOTICS	POSS: HEROIN(WHITE)	RESIDENTIAL YARD (FRONT/BACK)	TRUE	11	28	41.87886016	-87.72641866
1	2	12	WEAPONS VIOLATION	UNLAWFUL POSS OF HANDGUN	STREET	FALSE	6	21	41.73614812	-87.62907024
1	2	1	CRIMINAL TRESPASS	TO RESIDENCE	RESIDENCE	TRUE	18	27	41.90843054	-87.63850953
1	2	2	BATTERY	AGGRAVATED:KNIFE/CUTTING INSTR	RESIDENCE	FALSE	7	16	41.78992421	-87.65719405
1	2	4	OTHER OFFENSE	TELEPHONE THREAT	RESIDENCE	FALSE	6	21	41.74941433	-87.65977412
1	2	17	ASSAULT	SIMPLE	STREET	FALSE	4	7	41.75295025	-87.55406184
1	2	20	NARCOTICS	POSS: HEROIN(WHITE)	SIDEWALK	TRUE	15	24	41.87497197	-87.74549007
1	2	7	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	TRUE	3	20	41.77289113	-87.61965751
1	2	22	ROBBERY	ARMED: HANDGUN	STREET	FALSE	12	27	41.88367462	-87.69325264
1	2	15	BATTERY	DOMESTIC BATTERY SIMPLE	RESIDENCE	FALSE	2	4	41.83660077	-87.61677038
1	2	9	THEFT	$500 AND UNDER	STREET	FALSE	6	6	41.75032139	-87.60642521
1	2	4	CRIM SEXUAL ASSAULT	PREDATORY	VEHICLE NON-COMMERCIAL	FALSE	4	8	41.73842146	-87.57574151
1	2	9	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT OVER $ 300	RESIDENCE	FALSE	19	47	41.95324239	-87.66747375
1	2	19	DECEPTIVE PRACTICE	CREDIT CARD FRAUD	APARTMENT	FALSE	20	48	41.97705514	-87.65643182
1	2	11	OTHER OFFENSE	HARASSMENT BY ELECTRONIC MEANS	RESIDENCE	FALSE	17	33	41.95659783	-87.71544631
1	1	12	OTHER OFFENSE	HARASSMENT BY ELECTRONIC MEANS	RESIDENCE	FALSE	11	27	41.89075126	-87.71617312
1	1	3	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	FALSE	25	37	41.90766651	-87.73426471
1	2	12	DECEPTIVE PRACTICE	CREDIT CARD FRAUD	RESIDENCE	FALSE	4	7	41.74389296	-87.56490046
1	2	15	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	FALSE	19	47	41.94548222	-87.68822376
1	2	0	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	17	38	41.95796398	-87.73557332
1	2	15	STALKING	SIMPLE	RESTAURANT	FALSE	3	6	41.75849122	-87.6099102
1	2	7	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	TRUE	9	14	41.81119289	-87.70163019
1	3	12	BATTERY	SIMPLE	GAS STATION	TRUE	11	24	41.8749748	-87.72547505
1	3	7	CRIMINAL TRESPASS	TO VEHICLE	STREET	TRUE	17	35	41.94508826	-87.70778309
1	3	0	CRIMINAL DAMAGE	TO PROPERTY	RESIDENTIAL YARD (FRONT/BACK)	FALSE	8	13	41.74548882	-87.72863646
1	3	13	CRIMINAL DAMAGE	TO VEHICLE	STREET	FALSE	25	30	41.91237904	-87.72396299
1	3	14	OTHER OFFENSE	PROBATION VIOLATION	GOVERNMENT BUILDING/PROPERTY	TRUE	12	27	41.88613633	-87.66816368
1	3	11	THEFT	OVER $500	STREET	FALSE	17	33	41.95832786	-87.70204316
1	3	14	BATTERY	DOMESTIC BATTERY SIMPLE	RESIDENCE	FALSE	16	45	41.97084291	-87.77827514
1	3	0	MOTOR VEHICLE THEFT	AUTOMOBILE	PARKING LOT/GARAGE(NON.RESID.)	FALSE	9	12	41.81151617	-87.67513914
1	3	20	DECEPTIVE PRACTICE	ATTEMPT - FINANCIAL IDENTITY THEFT	POOL ROOM	FALSE	16	45	41.97121625	-87.76373542
1	3	23	THEFT	$500 AND UNDER	STREET	FALSE	24	49	42.01792957	-87.68102994
1	3	14	BATTERY	SIMPLE	STREET	FALSE	7	16	41.79183892	-87.6584574
1	3	15	THEFT	$500 AND UNDER	RESIDENCE	FALSE	6	21	41.74676016	-87.66016831
1	3	21	BATTERY	AGGRAVATED: HANDGUN	SIDEWALK	FALSE	3	20	41.78334076	-87.60599371
1	3	15	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT OVER $ 300	RESIDENCE	FALSE	22	21	41.71845211	-87.64435085
1	3	15	THEFT	$500 AND UNDER	STREET	FALSE	2	5	41.79603994	-87.60275128
1	2	16	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	8	23	41.80504036	-87.7418641
1	3	6	BATTERY	DOMESTIC BATTERY SIMPLE	RESIDENCE	FALSE	4	10	41.6641683	-87.54954849
1	1	20	OTHER OFFENSE	VIOLATE ORDER OF PROTECTION	RESIDENCE	FALSE	5	8	41.71801209	-87.59344203
1	2	15	CRIMINAL DAMAGE	TO CITY OF CHICAGO PROPERTY	"SCHOOL, PUBLIC, BUILDING"	FALSE	11	24	41.87000817	-87.72660153
1	2	1	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	FALSE	3	5	41.77279838	-87.59115938
1	1	20	CRIMINAL DAMAGE	TO VEHICLE	RESIDENCE-GARAGE	FALSE	17	33	41.95470512	-87.7166153
1	3	19	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	FALSE	9	12	41.81159699	-87.68452151
1	1	9	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	RESIDENCE	FALSE	4	7	41.74396708	-87.56490324
1	3	17	DECEPTIVE PRACTICE	ILLEGAL USE CASH CARD	ATM (AUTOMATIC TELLER MACHINE)	FALSE	15	29	41.87665055	-87.7555871
1	3	15	THEFT	$500 AND UNDER	APARTMENT	FALSE	18	43	41.91873798	-87.64490859
1	2	16	THEFT	FROM BUILDING	APARTMENT	FALSE	14	32	41.91664318	-87.67516596
1	3	6	THEFT	OVER $500	APARTMENT	FALSE	19	44	41.93428599	-87.64249954
1	2	9	MOTOR VEHICLE THEFT	AUTOMOBILE	PARKING LOT/GARAGE(NON.RESID.)	FALSE	17	33	41.95394461	-87.7039062
1	2	12	OTHER OFFENSE	TELEPHONE THREAT	RESIDENCE	FALSE	3	20	41.77581543	-87.61551536
1	1	13	THEFT	$500 AND UNDER	TAXICAB	FALSE	6	6	41.74883519	-87.61490719
1	3	0	HOMICIDE	FIRST DEGREE MURDER	STREET	FALSE	11	28	41.88634071	-87.7119996
1	3	23	HOMICIDE	FIRST DEGREE MURDER	ALLEY	FALSE	11	24	41.87186844	-87.70661031
1	4	12	BATTERY	SIMPLE	APARTMENT	FALSE	7	6	41.77020837	-87.62829091
1	1	3	OTHER OFFENSE	HARASSMENT BY TELEPHONE	APARTMENT	FALSE	6	6	41.74481864	-87.60505818
1	4	12	ASSAULT	AGGRAVATED: HANDGUN	STREET	FALSE	25	37	41.90844492	-87.75223662
1	4	12	ASSAULT	AGGRAVATED:KNIFE/CUTTING INSTR	RESIDENCE	FALSE	4	7	41.75122971	-87.54803585
1	4	1	BATTERY	SIMPLE	RESIDENCE	FALSE	6	21	41.7465378	-87.63532188
1	4	1	CRIMINAL TRESPASS	TO LAND	DRUG STORE	TRUE	25	30	41.92397622	-87.76629442
1	4	12	OFFENSE INVOLVING CHILDREN	OTHER OFFENSE	APARTMENT	FALSE	3	20	41.77901304	-87.61559702
1	4	12	ASSAULT	AGGRAVATED: HANDGUN	ALLEY	FALSE	7	17	41.77318089	-87.66039803
1	4	12	ROBBERY	ARMED: HANDGUN	SIDEWALK	FALSE	12	2	41.88305151	-87.68248077
1	4	12	NARCOTICS	MANU/DEL:CANNABIS OVER 10 GMS	STREET	TRUE	16	41	42.0116445	-87.80940001
1	4	2	ASSAULT	SIMPLE	STREET	FALSE	17	39	41.97262924	-87.70981573
1	4	12	BATTERY	AGG PO HANDS NO/MIN INJURY	APARTMENT	TRUE	6	17	41.75718395	-87.65148312
1	4	2	ASSAULT	SIMPLE	APARTMENT	TRUE	12	25	41.85664775	-87.66128569
1	4	8	MOTOR VEHICLE THEFT	AUTOMOBILE	RESIDENCE-GARAGE	FALSE	25	31	41.92338627	-87.73652453
1	4	2	THEFT	$500 AND UNDER	GAS STATION	FALSE	22	34	41.69212213	-87.66134608
1	4	13	NARCOTICS	POSS: HEROIN(WHITE)	SIDEWALK	TRUE	11	27	41.89251337	-87.71622961
1	4	14	BATTERY	SIMPLE	APARTMENT	FALSE	2	20	41.79371736	-87.6240618
1	4	17	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	FALSE	6	21	41.72468941	-87.62753229
1	4	17	THEFT	OVER $500	PARKING LOT/GARAGE(NON.RESID.)	FALSE	18	32	41.91085767	-87.65199563
1	4	21	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	FALSE	9	3	41.82727511	-87.63312835
1	4	22	ASSAULT	SIMPLE	STREET	FALSE	1	42	41.87940998	-87.63124856
1	4	11	OTHER OFFENSE	HARASSMENT BY ELECTRONIC MEANS	RESIDENCE	FALSE	12	32	41.8967747	-87.6804131
1	4	20	OTHER OFFENSE	HARASSMENT BY TELEPHONE	RESIDENCE	FALSE	19	46	41.96105002	-87.65117439
